nome_da_variavel;descricao;categorias;classe
zona;zona do domicílio;1 a 243;fator
subzona;subzona do domicílio;1 a 633;fator
munires;município do domicílio;1 a 27;fator
nota;nota;;numérica
conglome;conglomerado;1 a 33;fator
bolsao;bolsão;0 a 4;fator
setores;setores;1 a 81;fator
id_dom;identifica domicílio;;fator
f_dom;identifica primeiro registro do domicílio;"0 – Registros complementares do domicílio
1 – Primeiro registro do domicílio";fator
fe_dom;fator de expansão do domicílio;;numérica
domicil;número do domicílio;;fator
tipo_dom;tipo de domicílio;"1 – particular
2 – coletivo";fator
pess_fam;pessoa residente da família;;fator
não_res;pessoas não residentes;;fator
condmora;condição de moradia;"1 - Própria paga
2 - Própria em pagamento
3 - Alugada
4 - Cedida
5 – Outro";fator
aluguel;prestação ou aluguel;;numérica
f_fam;identifica primeiro registro da família;"0 – Demais  registros
1 – Primeiro registro da família";fator
fe_fam;fator de expansão da família;;numérica
no_fam;número da família;;fator
tot_fam;total de famílias;;numérica
qt_auto;número de veículos;;numérica
codrendf;código de renda familiar;"0 - Respondeu
1 - Não sabe
2 -Não respondeu
3 -Não se aplica";fator
redfam;renda familiar mensal;;numérica
f_pess;identifica primeiro registro da pessoa;"0 - Demais registros
1- Primeiro registro da pessoa";fator
fe_pess;fator de expansão da pessoa;;numérica
pessoa;número da pessoa;;fator
sit_fam;situação familiar;"1 - Chefe
2 - Cônjuge
3 - Filho(a)
4 - Parente
5 - Agregado
6 - Empregado Residente
7 - Visitante não Residente";fator
idade;idade;;numérica
sexo;sexo;"1 - Masculino
2 – Feminino";fator
grau_ins;grau de escolaridade;"1 - Sem instrução
2 - Primário Incompleto
3 - Primário Completo
4 - Ginasial Incompleto
5 - Ginasial Completo
6 -Colegial Incompleto
7 - Colegial Completo
8 - Universitário Incompleto
9 - Universitário Completo";fator
ocupacao;ocupação;"1 - Estudante
2 - Prendas Domésticas
3 -Aposentado
4 - Sem Ocupação (nunca trabalhou)
5 - Desempregado
6 -Em Licença
11 - Serviços não Especializados
12 - Serviços semi-especializados
13 - Escriturários
14 - Empregados de Comércio/Vendedor/Corretor/Outros
15 - Chefe/Supervisor de Operários Especializados
16 - Empregado de Escritório c/ Nível Supervisor
17 - Empregados em Empresas c/ Nível Gerente
18 - Empregados c/ Nível Universitário
21 - Operários sem Especialização
22 - Operários semi-especializados
23 - Operários Especializados Trabalhando p/ Terceiros
24 - Operários Especializados Trabalhando em Fábricas
25 - Chefe/Supervisor de Operários Especializados 
26 - Trabalhadores Rurais
27 - Trabalhadores Rurais c/ Nível de Capataz
31- Prestadores de Serviços Autônomos
32- Prestadores de Serviços por Cta Própria
33- Operários Especializados Trabalhando por Cta Própria
34- Prof.Lib.Trab. por Cta Própria c/ Trabalho Intelect/Mental
35- Prof.Lib.Trab. por Cta Própria c/ Nível Altam. Especializado
36- Prof.Lib.Trab. por Cta Própria c/ Nível Universitário
41- Func.Púb.Trab.p/o Governo em Serv.Não Especializados  
42- Func.Púb.Trab.p/o Governo em Serv.semi-especializados  
43 - Escriturários e Aux.de Escritório Trab.p/o Governo
44- Func.Púb.Trab.p/o Governo com Nível de Supervisor
45- Func.Púb.Trab.p/o Governo com Nível de Diretor
46 - Func.Púb.Trab.p/o Governo com Nível Universitário
51 - Sócios ou Donos de Pequeno Comércio
52 - Téc.,Prof., Artesões, Artífices, Sócios/Donos Firma Pequena
53 - Industriais e Comerciantes, Sócios ou Donos Firma Pequena
54 - Téc.,Prof., Artesões, Artífices, Sócios/Donos Firma Grande/Média
55 - Industriais e Comerciantes, Sócios ou Donos Firma Média
56 - Industriais e Comerciantes, Sócios ou Donos Firma Grande
57 - Agricultores Arrendários de Fazendas, Hortas, Granjas, etc.
58 - Agricultores Proprietários de Fazendas
59 - Grandes Fazendeiros";fator
ramoativ;ramo de atividade;"1 – Agrícola 
2 – Construção Civil
3 – Industrial
4 – Comercial 
5 – Funcionário Público
6 – Serviços de Transporte
7 – Empregado Serviços
8 – Serv. Autônomos
9 – Outro
10 – Não se Aplica";fator
co_ren_i;código de renda individual;"1 – Tem Renda
2 – Não Tem Renda
3 – Não Declarou";fator
vl_ren_i;renda individual mensal;;numérica
zonaesc1;zona da escola 1;;fator
subesc1;subzona da escola 1;;fator
muniesc1;município da escola 1;;fator
zonaesc2;zona da 2 escola;;fator
subesc2;subzona da  2 escola;;fator
