nome_da_variavel;descricao;categorias;classe
zona;zona do domicílio;1 a 254;fator
sz;subzona do domicílio;1 a 9;fator
szseq;subzona sequencial do domicílio;1 a 1.012;fator
muni_dom;município do domicílio;1 a 38;fator
faixa;faixa de consumo de energia elétrica;1 a 4;fator
id_dom;identifica domicílio;;fator
f_dom;identifica primeiro registro do domicílio;"0 – Registros complementares do domicílio
1 – Primeiro registro do domicílio";fator
fe_dom;fator de expansão do domicílio;;numérica
domicil;número do domicílio;;fator
data;data da entrevista;;data
tipo_dom;tipo de domicílio;"1 – individual
2 – coletivo";fator
fam_dom;número de famílias no domicílio;;numérica
f_fam;identifica primeiro registro da família;"0 – Demais  registros
1 – Primeiro registro da família";fator
fe_fam;fator de expansão da família;;numérica
familia;número da família;;fator
cd_entre;código da entrevista;"1 - Recusa Total
2 - Moradores Ausentes
3 - Domicílio Vago
4 – Incompleta
5 - Completa sem viagem
6 - Completa com viagem";fator
tp_rbair;tempo de residência no bairro;;numérica
condmora;condição de moradia;"1 - Não se aplica
2 - Não respondeu 
3 - Alugada
4 - Própria";fator
alug_sm;valor do aluguel em salários mínimos;;numérica
valuguel;valor do aluguel ajustado – set/87;;numérica
ins_chef;grau de instrução do chefe da família;"1 - Analfabeto/4ª Série Incompleta
2 - 4ª Série Completa
3 - 1º Grau Completo
4 – Colegial Completo
5 – Superior Completo ";fator
qt_tv;quantidade de televisores;;numérica
qt_radio;quantidade de rádios;;numérica
qt_banho;quantidade de banheiros;;numérica
qt_auto;quantidade de automóveis;;numérica
qt_empre;quantidade de empregados domésticos;;numérica
qt_aspir;quantidade de aspiradores de pó;;numérica
qt_mlava;quantidade de máquinas de lavar;;numérica
abaabipe;classificação socioeconômica ABA-ABIPEME;"1 – A
2 – B
3 – C
4 – D
5 – E";fator
pontoaba;ponto-Aba - total de todos os critérios ABA;;numérica
renda_fa;renda familiar ajustado - set/87 ;;numérica
cd_renfa;código de renda familiar;"1 - Não Tem Renda
2 - Renda Familiar Incompleta
3 - Renda Familiar Completa ";fator
rendatri;renda familiar atribuída ;;numérica
cd_ratri;código de renda familiar atribuída;"1 - Não Tem Renda
2 - Renda Familiar Atribuída pelo Crit.ABA-ABIPEM
3 - Renda Familiar Pesquisada";fator
tot_pess;total de pessoas na família;;numérica
tot_v_fa;total de viagens na família;;numérica
f_pess;identifica primeiro registro da pessoa;"0 - Demais registros
1- Primeiro registro da pessoa";fator
