variable_name;decription;categories;class
zona;household zone;1 to 243;factor
subzona;household subzone;1 to 633;factor
munires;household municipality;1 to 27;factor
nota;score;;numeric
conglome;conglomerate;11 to 33;factor
bolsao;area;0 to 4;factor
setores;sectors;1 to 81;factor
id_dom;household identifier;;factor
f_dom;household first occurrence identifier;"0 – additional household records
1 – first household record";factor
fe_dom;household expansion factor;;numeric
domicil;household number;;factor
tipo_dom;household type;"1 – private
2 – collective";factor
pess_fam;resident person from the family;;factor
não_res;non-residente person;;factor
condmora;housing conditions;"1 – owned and paid for
2 – owned in payment
3 – rented 
4 – leased 
5 – other";factor
aluguel;instalment or rent;;numeric
f_fam;family first occurrence identifier;"0 – additional family records
1 – first family record";factor
fe_fam;family expansion factor;;numeric
no_fam;family number;;factor
tot_fam;total number of families;;numeric
qt_auto;number of vehicles;;numeric
codrendf;household income code;"0 – answered
1 – don't know
2 – did not answer
3 – does not apply";factor
redfam;monthly family income;;numeric
f_pess;person first occurrence identifier;"0 – additional person records
1 – first person record";factor
fe_pess;person expansion factor;;numeric
pessoa;person number;;factor
sit_fam;family status;"1 – head of household
2 – spouse
3 – child 
4 – relative
5 – household member
6 – resident employee
7 – non-resident visitor";factor
idade;age;;numeric
sexo;sex;"1 – Male
2 – Female";factor
grau_ins;educational level;"1 – no education
2 – Primary incomplete
3 – Primary completed
4 – Elementary school incomplete
5 – Elementary school completed
6 – high school incomplete
7 – high school completed
8 – university graduate incomplete
9 – university graduate completed";factor
ocupacao;profession categorization;"1 – student
2 – housewife
3 – retired
4 – no occupation (never worked)
5 – unemployed
6 – on leave
11 – non-specialised services
12 – semi-specialised services
13 – clerks
14 – commerce employees/salesman/broker/other
15 – head/supervisor of specialized workers
16 – office employees with supervisor level
17 – managerial employees
18 – employees with university degree
21 – unskilled workers
22 – semi-specialised workers
23 – specialized workers working for third parties
24 – specialized workers working in factories
25 – head/supervisor of specialized workers
26 – rural workers
27 – rural workers at foreman level
31 – self-employed - autonomous
32 – self-employed - working for him/herself
33 – self-employed - specialized workers
34 – self-employed - intellectual/mental work
35 – self-employed - highly specialized professionals
36 – self-employed - with university degree
41 – government employees working in non-specialized services  
42 – government employees working in semi-specialized services  
43 – clerks and office assistants working as government employees
44 – government employees at supervisor Level
45 – government employees at director Level
46 – government employees with university degree
51 – partners or owners of small businesses
52 – technicians, teachers, craftsmen, artisans, partners/owners of small businesses
53 – industrialists and traders, partners or owners of small businesses
54 – technicians, teachers, craftsmen, artisans, partners/owners of large/medium-sized businesses
55 – industrialists and traders, partners or owners of medium-sized businesses
56 – industrialists and traders, partners or owners of large businesses
57 – farmers who rent farms, ranches, granges, etc.
58 – farmers who own farms
59 – large farmers";factor
ramoativ;field of activity;"1 – agriculture
2 – construction
3 – industry
4 – commerce
5 – public employees
6 – transport services
7 – services employees
8 – self-employed 
9 – other
10 – does not aplly";factor
co_ren_i;individual income code;"1 – has income
2 – no income
3 – did not inform";factor
vl_ren_i;individual monthly income;;numeric
zonaesc1;school 1 zone;;factor
subesc1;school 1 subzone;;factor
muniesc1;school 1 subzone;;factor
zonaesc2;school 2 zone;;factor
subesc2;school 2 subzone;;factor
zonatra1;first job zone;;factor
subtra1;first job subzone;;factor
munitra1;first job municipality;;factor
zonatra2;second job zone;;factor
subtra2;second job subzone;;factor
munitra2;second job municipality;;factor
id_viage;trip identifier;"0 – no trip
1 – there is trip";factor
fe_via;trip expansion factor;;numeric
zonao;origin zone;;factor
subor;origin subzone;;factor
muniorig;origin municipality;;factor
bolsaoor;origin area;;factor
setoror;origin sector;;factor
zonad;destination zone;;factor
subdes;destination subzone;;factor
munidest;destination municipality;;factor
bolsaode;destination area;;factor
setorde;destination sector;;factor
motivo_o;trip purpose at origin;"1 – work - industry
2 – work - commerce
3 – work - services
4 – school/education
5 – shopping
6 – business
7 – doctor / dentist / health
8 – recreation / visits
9 – serving a passenger (accompanying someone)
10 – residence";factor
motivo_d;trip purpose at destination;same as motivo_o;factor
modo1;first mode;"1 – trolleybus
2 – school/company bus
3 – driving car
4 – car passenger 
5 – taxi
6 – van 
7 – subway
8 – train
9 – motorcycle
10 – bicycle
11 – on foot
12 – other";factor
modo2;second mode;same as mode 1;factor
modo3;third mode;same as mode 1;factor
modoprin;main mode;same as mode 1;factor
tipo_vg;trip type;"1 – collective
2 – individual
3 – on foot";factor
hsaida;departure time – hour;;numeric
minsaida;departure time – minutes;;numeric
anda_o;walking period at origin (in minutes);;numeric
h_cheg;arrival time – hour;;numeric
mincheg;arrival time – minutes;;numeric
anda_d;walking period at destination (in minutes);;numeric
duracao;trip duration (in minutes);;numeric
tipoestc;car parking type;"1 – “blue zone” / parking meter
2 – single parking
3 – monthly parking
4 – own car parking space
5 – on street
6 – sponsored parking
7 – no parking";factor
custoest;car parking cost;;numeric
pqnaocar;non-using car code;"1 – not available
2 – expensive parking
3 – it is difficult to park
4 – preferred a cheaper mode
5 – preferred a more convenient mode
6 – other";factor
numviag;trip number;;factor
ordem;database record order;;factor
